Id,Title,Price,User_id,profileName,review/score,review/text,review/time
1,The Pragmatic Programmer,28.74,394,User 209,3,clear challenging comprehensive dense comprehensive great great dense practical insightful challenging,1582153200
2,Introduction to Algorithms,14.89,162,User 375,4,challenging great great clear great challenging practical insightful clear clear comprehensive,1596751200
3,Building Microservices,54.71,290,User 415,3,comprehensive clear dense practical practical practical challenging dense,1605308400
4,Hands-On Machine Learning,45.7,434,User 387,2,challenging practical insightful comprehensive comprehensive great dense practical comprehensive insightful,1582758000
5,Hands-On Machine Learning,10.9,181,User 118,4,dense clear great comprehensive dense clear clear dense challenging insightful dense comprehensive dense great dense great clear practical challenging practical great practical dense practical great,1579993200
6,Data Pipelines Pocket Reference,36.42,280,User 356,4,challenging insightful dense clear comprehensive comprehensive practical challenging,1593727200
7,Effective Python,36.05,121,User 381,1,great dense dense insightful practical challenging clear comprehensive great challenging dense practical clear comprehensive great great practical comprehensive challenging clear challenging practical comprehensive clear great dense challenging dense,1583881200
8,Data Pipelines Pocket Reference,17.33,372,User 189,2,comprehensive insightful dense insightful comprehensive comprehensive challenging great insightful insightful challenging challenging insightful dense great comprehensive comprehensive dense challenging clear dense clear dense clear clear insightful,1603839600
9,Python Data Science Handbook,33.84,469,User 115,5,practical great clear practical challenging comprehensive practical practical comprehensive dense challenging clear,1591912800
10,Designing Data-Intensive Applications,63.92,176,User 416,2,comprehensive clear clear comprehensive insightful challenging clear comprehensive great comprehensive challenging dense practical,1578870000
11,The Pragmatic Programmer,51.02,153,User 56,4,clear practical insightful dense clear dense comprehensive challenging dense practical challenging comprehensive great great comprehensive dense great dense dense dense comprehensive comprehensive challenging practical great dense,1603576800
12,Deep Learning with Python,59.4,462,User 8,3,insightful challenging challenging insightful challenging comprehensive great great practical insightful insightful insightful clear dense insightful dense challenging insightful dense great,1602972000
13,Data Pipelines Pocket Reference,29.55,100,User 267,1,challenging comprehensive clear great dense clear dense comprehensive dense insightful insightful insightful great challenging great challenging great practical dense great challenging clear challenging dense comprehensive insightful great practical,1591480800
14,Data Pipelines Pocket Reference,11.82,186,User 403,2,insightful insightful practical dense dense comprehensive challenging dense great great clear challenging great dense challenging dense great dense comprehensive insightful challenging great,1582066800
15,Hands-On Machine Learning,61.53,400,User 343,2,insightful great dense clear great clear great great insightful dense challenging practical great insightful dense great practical comprehensive challenging clear,1586296800
16,Introduction to Algorithms,33.9,74,User 46,1,comprehensive comprehensive clear clear great great challenging comprehensive great clear clear practical clear challenging clear insightful comprehensive,1599861600
17,Hands-On Machine Learning,53.83,434,User 214,1,comprehensive comprehensive clear clear dense great comprehensive comprehensive insightful comprehensive challenging clear challenging dense comprehensive practical insightful clear comprehensive dense practical dense dense comprehensive insightful great challenging,1605999600
18,Effective Python,64.61,188,User 95,1,challenging practical insightful challenging great great insightful great comprehensive practical dense dense,1582326000
