Id,Title,Price,User_id,ProfileName,review/score,review/text,review/time,Description,Authors,Publisher,PublishedDate,Categories,RatingsCount,AverageRating,review_length,CategoriesList
1,The Pragmatic Programmer,28.74,394,User 209,3,clear challenging comprehensive dense comprehensive great great dense practical insightful challenging,2020-02-19 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
11,The Pragmatic Programmer,51.02,153,User 56,4,clear practical insightful dense clear dense comprehensive challenging dense practical challenging comprehensive great great comprehensive dense great dense dense dense comprehensive comprehensive challenging practical great dense,2020-10-24 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,26,['programming']
21,The Pragmatic Programmer,24.58,19,User 80,5,challenging great comprehensive clear dense comprehensive practical practical comprehensive dense practical,2020-02-01 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
30,The Pragmatic Programmer,17.04,22,User 178,2,insightful dense insightful challenging dense practical insightful great challenging insightful,2020-05-05 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
60,The Pragmatic Programmer,67.17,119,User 66,4,challenging practical challenging comprehensive great great challenging dense insightful practical dense clear comprehensive comprehensive practical insightful great clear comprehensive insightful clear comprehensive comprehensive comprehensive clear insightful comprehensive insightful,2020-07-14 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
72,The Pragmatic Programmer,37.39,191,User 344,5,challenging comprehensive challenging challenging insightful challenging challenging great insightful dense practical dense insightful insightful challenging dense,2020-06-15 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,16,['programming']
81,The Pragmatic Programmer,49.29,370,User 136,1,dense insightful practical dense dense dense practical insightful insightful challenging insightful dense comprehensive practical great,2020-03-03 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,15,['programming']
95,The Pragmatic Programmer,26.29,35,User 102,3,practical comprehensive practical insightful great practical comprehensive comprehensive clear great great challenging comprehensive,2020-08-08 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,13,['programming']
99,The Pragmatic Programmer,39.86,305,User 424,2,challenging challenging great dense comprehensive challenging clear comprehensive practical comprehensive clear insightful challenging great great clear dense great,2019-12-31 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,18,['programming']
101,The Pragmatic Programmer,23.23,39,User 98,4,great comprehensive dense clear insightful clear clear clear,2020-07-18 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,8,['programming']
